CustomerId,Surname,Geography,Age,Balance,EstimatedSalary,BalanceToSalaryRatio
15696605,Angelo,France,49,180614.04,523.0,345.34
15594815,Aleshire,France,35,174790.15,600.36,291.14
15673020,Smith,France,49,204510.94,738.88,276.79
15634141,Shephard,Germany,42,192390.52,823.36,233.67
15645544,Nekrasov,Germany,30,129753.69,582.53,222.74
15613048,Anderson,Germany,40,139973.65,667.66,209.65
15681550,Lablanc,France,41,121558.46,598.8,203.0
15611669,Nyhan,Germany,50,126608.37,645.61,196.11
15760988,Liu,Germany,33,124573.33,683.37,182.29
15717156,Sokolov,France,30,143396.54,898.51,159.59
15663263,Collins,France,47,156265.31,1055.66,148.03
15569247,Mitchell,Spain,57,109679.72,753.37,145.59
15800784,Bruce,France,42,98298.18,676.06,145.4
15674678,Bradley,Germany,43,79120.27,548.52,144.24
15653521,Onuora,Germany,40,104449.8,747.88,139.66
15767818,Graham,France,55,132436.34,978.66,135.32
15768233,Chukwuebuka,Germany,37,114346.3,980.93,116.57
15761053,Lock,Germany,48,131326.47,1140.02,115.2
15604044,Mitchell,France,38,134811.3,1299.75,103.72
15688691,Lei,Germany,51,110610.41,1112.76,99.4
15657603,Finch,France,35,81684.97,824.0,99.13
15709004,Mai,Germany,22,93547.23,961.57,97.29
15720941,Tien,Germany,34,147833.3,1561.58,94.67
15588839,Mancini,Spain,30,180307.73,1914.41,94.18
15807045,Milanesi,Germany,37,103457.76,1114.12,92.86
15760662,Francis,Germany,29,87212.8,994.86,87.66
15647453,Ifeajuna,France,42,102936.72,1187.88,86.66
15636069,Plummer,Spain,28,155519.59,1843.24,84.37
15596808,Maclean,Spain,33,96110.22,1173.23,81.92
15688880,Amechi,Germany,40,102980.44,1285.81,80.09
15647974,Chiemenam,France,44,118742.74,1568.91,75.68
15802857,Robson,Spain,33,115409.6,1539.21,74.98
15592078,Davide,Germany,27,123599.49,1676.92,73.71
15653222,Otutodilichukwu,Germany,32,131938.92,1795.93,73.47
15607314,Chiefo,Spain,53,143923.96,2019.78,71.26
15812832,Jideofor,Germany,33,92659.2,1354.25,68.42
15642726,Holmes,France,53,83568.26,1235.49,67.64
15696674,Robinson,Germany,45,150842.93,2319.96,65.02
15621520,Tang,Germany,42,139707.28,2150.22,64.97
15589195,Bluett,Germany,38,130933.74,2035.94,64.31
15574868,Lowell,Germany,36,115725.24,1871.25,61.84
15594502,Zotov,France,37,109093.41,1775.52,61.44
15588859,Rowley,Spain,44,179356.28,2919.21,61.44
15783958,Bates,Spain,37,130922.81,2186.83,59.87
15600911,Mbadiwe,France,33,182888.08,3061.0,59.75
15757617,Lewis,France,55,134140.68,2267.88,59.15
15638730,Macleod,France,21,82844.33,1408.68,58.81
15571586,Briggs,Spain,29,159035.45,2705.31,58.79
15774882,Mazzanti,France,35,99587.43,1713.1,58.13
15587210,McCartney,Germany,44,113581.98,1985.41,57.21
15655360,Chikelu,Germany,72,148666.99,2605.65,57.06
15644296,Scott,France,30,105209.54,1852.58,56.79
15580252,Waters,France,44,112610.77,2048.55,54.97
15708003,Aleksandrova,Spain,41,85109.21,1557.82,54.63
15759244,Boone,Germany,44,95368.14,1787.85,53.34
15682928,Chiazagomekpere,Spain,39,65521.2,1243.97,52.67
15657284,Day,Germany,47,106901.94,2079.2,51.41
15734987,Robertson,France,43,140260.36,2748.72,51.03
15573242,Greene,France,50,136953.47,2704.98,50.63
15590966,Lo,Germany,42,97495.8,2002.5,48.69
15622083,Paterson,Germany,30,143138.91,2955.46,48.43
15597131,Fu,France,32,145807.59,3064.65,47.58
15759184,Russell,France,34,117715.84,2498.67,47.11
15661526,Anderson,Germany,37,110777.26,2383.59,46.47
15772421,Tretiakov,Germany,31,128927.93,2850.01,45.24
15813660,Forlonge,Spain,40,160625.17,3554.63,45.19
15739850,Trentino,France,45,155417.61,3449.22,45.06
15641877,Ross,France,47,97023.21,2168.13,44.75
15660602,Ch'eng,Germany,33,164284.72,3710.34,44.28
15749482,Zack,Spain,30,78653.05,1790.48,43.93
15571121,Kodilinyechukwu,France,50,138340.06,3159.15,43.79
15730339,Bell,Spain,30,133446.34,3154.95,42.3
15800412,Dale,Germany,35,146780.52,3476.38,42.22
15772650,Longo,France,55,136576.02,3268.17,41.79
15726153,Fanucci,France,31,106260.67,2578.43,41.21
15584930,Grimmett,Germany,30,111375.32,2704.09,41.19
15567114,McGarry,France,35,118894.22,2923.61,40.67
15688612,Campos,France,33,140956.99,3510.18,40.16
15665062,Lucchese,France,19,110928.51,2766.63,40.1
15795990,Lumholtz,Germany,48,138311.76,3472.63,39.83
15650391,Wallace,France,29,169988.35,4272.0,39.79
15793881,Mitchell,France,35,118273.83,3086.89,38.31
15726179,Ferrari,Germany,43,131433.33,3497.43,37.58
15572114,Shih,Spain,40,121629.22,3258.6,37.33
15603328,Lucchesi,France,27,77805.66,2101.89,37.02
15607786,Mao,France,26,156551.63,4410.77,35.49
15612771,Bell,France,35,148172.44,4175.68,35.48
15670738,Mazzanti,Germany,45,113939.36,3218.71,35.4
15633650,Woods,Germany,41,146720.98,4195.84,34.97
15785899,Ch'en,Germany,33,151607.56,4389.4,34.54
15737627,Rivero,Germany,20,121093.29,3529.72,34.31
15708867,Niu,Spain,38,134168.5,3966.5,33.83
15727350,Pai,France,37,113143.12,3363.36,33.64
15769915,Charlton,Spain,20,133313.34,3965.69,33.62
15576162,King,France,32,92199.84,2755.53,33.46
15790489,Lo Duca,Spain,34,170600.78,5240.53,32.55
15712960,Olisanugo,Spain,37,171653.17,5353.12,32.07
15747762,Chigozie,France,32,118520.41,3815.48,31.06
15654562,Ma,Spain,45,174088.3,5669.31,30.71
15633227,Kenechukwu,France,28,85146.36,2803.89,30.37
15691111,Pai,Germany,42,121980.56,4027.02,30.29
15569878,Dale,France,37,96651.03,3232.82,29.9
15778142,Shih,Germany,31,130089.56,4466.21,29.13
15686219,Wan,France,38,71018.6,2444.29,29.05
15635459,Shih,Germany,27,106116.5,3674.71,28.88
15599301,Tao,Germany,28,164365.44,5698.97,28.84
15788946,Anthony,Spain,29,116805.82,4092.75,28.54
15566563,Duigan,France,30,137851.31,5008.23,27.52
15635197,Glover,Germany,26,90402.77,3298.65,27.41
15677305,Hsieh,France,35,107749.03,3937.37,27.37
15573348,Maclean,France,35,102050.47,3769.71,27.07
15614365,Lombardi,Germany,31,150604.52,5566.6,27.06
15741417,Chibuzo,Spain,35,119656.45,4595.05,26.04
15600879,Parsons,Germany,36,157780.93,6089.13,25.91
15763665,Y?,France,28,136674.51,5278.78,25.89
15630709,Castiglione,Germany,31,56116.3,2181.94,25.72
15798824,Kennedy,Spain,38,92674.94,3647.57,25.41
15579892,Doyle,Spain,19,112615.86,4491.77,25.07
15610801,Pan,Germany,41,123049.21,5066.76,24.29
15604020,Otoole,Germany,36,105858.71,4395.45,24.08
15585241,Butcher,Spain,29,117412.19,4888.91,24.02
15665238,Beneventi,Germany,36,145071.24,6078.46,23.87
15764726,Kerr,France,22,137583.04,5791.85,23.75
15604482,Chiemezie,Spain,30,141040.01,5978.2,23.59
15630551,Forbes,France,33,163139.27,7035.36,23.19
15674840,Chiazagomekpere,France,38,101430.3,4400.32,23.05
15639049,Cartagena,France,31,139395.08,6120.84,22.77
15735782,MacDonald,France,31,120962.59,5419.31,22.32
15798709,Gill,Spain,32,109109.33,4993.94,21.85
15733661,Illingworth,Spain,27,133806.54,6251.3,21.4
15706223,Barnes,Spain,38,96798.79,4554.67,21.25
15781884,Knox,Germany,27,94667.29,4470.52,21.18
15741336,Ejimofor,France,38,118590.41,5684.17,20.86
15697460,Lai,Germany,34,99441.21,4802.27,20.71
15775339,Lori,France,29,95947.76,4696.44,20.43
15805151,Ginikanwa,Germany,31,89558.39,4441.54,20.16
15689751,Jones,France,31,79589.43,4050.57,19.65
15574169,Trevisano,Germany,32,92466.21,4721.3,19.58
15671293,Marcus,Germany,37,128389.63,6589.16,19.48
15694129,Summers,Germany,28,100032.52,5159.21,19.39
15742668,Day,Spain,37,108269.37,5597.94,19.34
